-,60,_
7718,W_Aoi,5*,wind,dagger,3558,[Twinfold_Bonds+Levins_Champion][Vayu][HDT2],<big hitbox & hit15 & hp70 & 80 sleep res>,,attack:1521,force_strike:163,skill_1:2844,skill_2:0,skill_3:886,team_buff:354,s1_hit1:479,s1_hit2:489,s1_hit3:489,s1_hit4:489
4681,_c_W_Aoi,5*,wind,dagger,3558,[Twinfold_Bonds+Levins_Champion][Vayu][HDT2],!<big hitbox & hit15 & hp70 & 80 sleep res>,,attack:1246,force_strike:135,skill_1:2180,skill_2:0,skill_3:727,team_buff:0,s1_hit1:391
-,60,k
8489,W_Aoi,5*,wind,dagger,3558,[Twinfold_Bonds+Levins_Champion][Vayu][HDT2],<big hitbox & hit15 & hp70 & 80 sleep res>,,attack:1673,force_strike:179,skill_1:3128,skill_2:0,skill_3:975,team_buff:389,s1_hit1:527,s1_hit2:538,s1_hit3:538,s1_hit4:538
5150,_c_W_Aoi,5*,wind,dagger,3558,[Twinfold_Bonds+Levins_Champion][Vayu][HDT2],!<big hitbox & hit15 & hp70 & 80 sleep res>,,attack:1370,force_strike:149,skill_1:2398,skill_2:0,skill_3:800,team_buff:0,s1_hit1:430
-,60,r
8598,W_Aoi,5*,wind,dagger,3558,[Twinfold_Bonds+Levins_Champion][Vayu][HDT2],<big hitbox & hit15 & hp70 & 80 sleep res>,,attack:1521,force_strike:163,skill_1:3270,skill_2:0,skill_3:1019,team_buff:382,s1_hit1:551,s1_hit2:563,s1_hit3:563,s1_hit4:563
5176,_c_W_Aoi,5*,wind,dagger,3558,[Twinfold_Bonds+Levins_Champion][Vayu][HDT2],!<big hitbox & hit15 & hp70 & 80 sleep res>,,attack:1246,force_strike:135,skill_1:2508,skill_2:0,skill_3:836,team_buff:0,s1_hit1:449
-,60,kr
9458,W_Aoi,5*,wind,dagger,3558,[Twinfold_Bonds+Levins_Champion][Vayu][HDT2],<big hitbox & hit15 & hp70 & 80 sleep res>,,attack:1673,force_strike:179,skill_1:3597,skill_2:0,skill_3:1121,team_buff:420,s1_hit1:606,s1_hit2:619,s1_hit3:619,s1_hit4:619
5694,_c_W_Aoi,5*,wind,dagger,3558,[Twinfold_Bonds+Levins_Champion][Vayu][HDT2],!<big hitbox & hit15 & hp70 & 80 sleep res>,,attack:1370,force_strike:149,skill_1:2758,skill_2:0,skill_3:920,team_buff:0,s1_hit1:494
-,60,d
